,NAME,YEAR,CMP,PATT,CMP%,PYDS,PAVG,PLNG,PTD,INT,SACK,RTG
66,Ryan Cubit,2004,170,290,58.6,"1,887",6.5,79,14,12,10,120.9
67,Rasheed Marshall,2004,144,242,59.5,"1,886",7.8,69,19,9,20,143.4
68,Lester Ricard,2004,143,231,61.9,"1,881",8.1,87,21,9,13,152.5
69,Perry Patterson,2004,168,289,58.1,"1,851",6.4,68,7,10,18,113.0
70,Vince Young,2004,148,250,59.2,"1,849",7.4,49,12,11,9,128.4
71,Dustin Almond,2004,138,269,51.3,"1,848",6.9,47,12,6,14,119.3
72,Jay Cutler,2004,147,241,61.0,"1,844",7.7,80,10,5,24,134.8
73,Matt Kubik,2004,123,242,50.8,"1,818",7.5,93,10,10,24,119.3
74,Scott Hall,2004,134,237,56.5,"1,818",7.7,67,14,4,15,137.1
75,Zac Dahman,2004,145,265,54.7,"1,767",6.7,93,9,7,10,116.7
76,Trent Edwards,2004,149,274,54.4,"1,732",6.3,76,9,11,20,110.3
77,Brandon Hassell,2004,123,217,56.7,"1,724",7.9,52,10,3,12,135.9
78,Zack Mills,2004,155,268,57.8,"1,722",6.4,49,9,12,10,113.9
79,Steven Moffett,2004,147,229,64.2,"1,721",7.5,70,9,10,37,131.6
80,Wyatt Sexton,2004,139,252,55.2,"1,661",6.6,48,8,8,20,114.6
81,Donovan Woods,2004,97,187,51.9,"1,628",8.7,68,13,5,13,142.6
82,Justin Holland,2004,121,197,61.4,"1,622",8.2,50,6,10,12,130.5
83,Drew Stanton,2004,141,220,64.1,"1,601",7.3,57,8,6,4,131.8
84,Joel Statham,2004,126,234,53.8,"1,590",6.8,72,8,15,16,109.4
85,Ryan Hawk,2004,137,262,52.3,"1,585",6.1,80,10,6,36,111.1
86,Pat Julmiste,2004,118,247,47.8,"1,570",6.4,77,7,8,20,104.0
87,Ethan Flatt,2004,123,220,55.9,"1,530",7.0,64,6,10,11,114.2
88,Casey Paus,2004,116,274,42.3,"1,476",5.4,77,5,17,13,81.2
89,Erik Ainge,2004,109,198,55.1,"1,452",7.3,60,17,9,5,135.9
90,Dylan Meier,2004,127,220,57.7,"1,436",6.5,86,9,5,5,121.5
91,Adam Barmann,2004,141,262,53.8,"1,427",5.4,78,12,9,10,107.8
92,Tony Eckert,2004,111,203,54.7,"1,406",6.9,59,6,13,15,109.8
93,Dale Rogers,2004,96,181,53.0,"1,389",7.7,69,12,8,22,130.5
94,Josh Haldi,2004,94,179,52.5,"1,384",7.7,78,15,4,13,140.6
95,Matt Dlugolecki,2004,123,203,60.6,"1,349",6.6,61,6,8,12,118.3
96,Shane Boyd,2004,138,263,52.5,"1,328",5.0,41,7,9,8,96.8
97,Shaun Carney,2004,91,149,61.1,"1,315",8.8,48,11,6,12,151.5
98,Alex Brink,2004,97,194,50.0,"1,305",6.7,60,7,5,21,113.3
99,Josh Swogger,2004,91,193,47.2,"1,283",6.6,76,13,7,11,118.0
100,Kole McKamey,2004,103,210,49.0,"1,272",6.1,69,6,9,20,100.8
101,Marcus Randall,2004,102,162,63.0,"1,269",7.8,34,9,6,19,139.7
102,Omarr Conner,2004,107,205,52.2,"1,224",6.0,84,6,7,16,105.2
103,Justin Zwick,2004,98,187,52.4,"1,209",6.5,80,6,6,13,110.9
104,Caleb Jeffrey Hanie,2004,85,147,57.8,"1,204",8.2,42,8,7,10,135.1
105,Aaron Polanco,2004,61,114,53.5,"1,131",9.9,66,7,4,17,150.1
106,Joey Lynch,2004,108,169,63.9,"1,126",6.7,52,9,2,19,135.1
107,Cole Stinson,2004,91,179,50.8,"1,101",6.2,69,5,2,20,109.5
108,Syvelle Newton,2004,70,131,53.4,"1,093",8.3,73,6,6,16,129.5
109,Jon Beutjer,2004,107,188,56.9,"1,082",5.8,52,8,4,6,115.0
110,Tye Gunn,2004,71,131,54.2,"1,065",8.1,82,9,3,10,140.6
111,JaMarcus Russell,2004,73,144,50.7,"1,053",7.3,42,9,4,13,127.2
112,Shane Steichen,2004,92,187,49.2,"1,011",5.4,47,7,10,11,96.3
113,Blayne Baggett,2004,83,132,62.9,993,7.5,63,9,5,9,141.0
114,Spencer Pennington,2004,82,152,53.9,974,6.4,48,4,8,12,105.9
115,Cory Randolph,2004,78,147,53.1,972,6.6,63,3,4,16,109.9
116,Phil Horvath,2004,72,123,58.5,954,7.8,45,6,7,2,128.4
117,Rick Clausen,2004,81,136,59.6,949,7.0,57,8,5,2,130.2
118,Troy Smith,2004,68,122,55.7,896,7.3,68,8,3,10,134.1
119,Dondrial Pinkins,2004,68,108,63.0,880,8.1,65,4,5,3,134.4
120,Chris Rix,2004,76,149,51.0,865,5.8,50,3,7,8,97.0
121,Kris Heavner,2004,84,143,58.7,837,5.9,47,4,4,10,111.5
122,Brian Brohm,2004,66,98,67.3,819,8.4,74,6,2,11,153.7
123,Kurt Nantkes,2004,62,128,48.4,800,6.3,46,4,7,12,100.3
124,Aaron Leak,2004,54,118,45.8,756,6.4,38,6,7,12,104.5
125,Brandon Kirsch,2004,58,94,61.7,711,7.6,61,7,3,9,143.4
126,Richard Irvin,2004,59,106,55.7,694,6.5,45,7,4,11,124.9
127,Brad Bower,2004,57,100,57.0,658,6.6,56,4,3,10,119.5
128,Damon Dowdell,2004,66,114,57.9,657,5.8,54,4,6,3,107.4
129,P.J. Piskorik,2004,61,133,45.9,616,4.6,61,2,8,9,77.7
130,Jerad Romo,2004,48,85,56.5,599,7.0,49,4,2,8,126.5
131,Austen Everson,2004,37,83,44.6,588,7.1,89,4,5,16,107.9
132,D.T. McDowell,2004,42,104,40.4,585,5.6,45,5,4,19,95.8
133,Ben Mauk,2004,49,94,52.1,572,6.1,85,2,3,8,103.9
134,Shawn Bell,2004,68,113,60.2,544,4.8,34,6,0,11,118.1
135,Brodie Croyle,2004,44,66,66.7,534,8.1,57,6,0,4,164.6
136,Allen Webb,2004,49,94,52.1,521,5.5,48,2,4,11,97.2
137,Andre' Woodson,2004,54,88,61.4,492,5.6,52,2,1,14,113.6
138,Greg Henderson,2004,33,76,43.4,487,6.4,55,3,8,7,89.2
139,Travis Moore,2004,44,71,62.0,481,6.8,38,3,2,6,127.2
140,Brian Luke,2004,40,65,61.5,467,7.2,73,3,1,4,134.0
141,D.J. Shockley,2004,26,60,43.3,464,7.7,53,4,1,7,127.0
142,Adam Tafralis,2004,29,65,44.6,432,6.6,79,2,1,5,107.5
143,Terrance Parks,2004,36,60,60.0,428,7.1,55,2,1,8,127.6
144,Leon Jackson III,2004,26,46,56.5,404,8.8,46,1,1,3,133.1
145,Isaiah Stanback,2004,23,68,33.8,389,5.7,52,3,3,7,87.6
146,J.J. Raterink,2004,37,64,57.8,373,5.8,55,4,3,8,118.0
147,Kyle York,2004,39,79,49.4,358,4.5,25,3,5,5,87.3
148,Brandon Cox,2004,22,34,64.7,357,10.5,39,4,2,5,180.0
149,Matt Ryan,2004,35,71,49.3,350,4.9,32,2,3,5,91.6
150,Randall Secky,2004,35,88,39.8,349,4.0,42,1,6,3,63.2
151,Micheal Spurlock,2004,30,70,42.9,341,4.9,43,0,0,3,83.8
152,Joel Armstrong,2004,26,56,46.4,341,6.1,51,2,3,12,98.6
153,Stephen Reaves,2004,23,58,39.7,331,5.7,50,2,5,0,81.7
154,James Cox,2004,28,49,57.1,330,6.7,45,2,3,1,114.9
155,Matt Baker,2004,23,36,63.9,326,9.1,52,1,2,1,138.0
156,Donald Allen,2004,27,52,51.9,317,6.1,41,1,1,7,105.6
157,Marques Council,2004,27,48,56.3,315,6.6,56,1,2,5,109.9
158,Adam Fitch,2004,22,35,62.9,314,9.0,45,1,1,2,141.9
159,Austin Flynn,2004,24,58,41.4,303,5.2,40,3,2,6,95.4
160,Brent Schaeffer,2004,18,37,48.6,302,8.2,55,2,1,10,129.6
161,Chris Pazan,2004,37,63,58.7,292,4.6,21,1,1,8,99.7
162,John Nielsen,2004,30,46,65.2,266,5.8,22,1,1,4,116.6
163,Chris Moore,2004,13,19,68.4,263,13.8,86,1,1,3,191.5
164,Chris Phillips,2004,30,61,49.2,257,4.2,30,0,2,4,78.0
165,Reggie Nevels,2004,18,47,38.3,256,5.4,60,2,2,4,89.6
166,Brian Nooy,2004,24,49,49.0,253,5.2,46,1,3,10,86.8
167,Robert Lane,2004,25,57,43.9,242,4.2,26,1,3,9,74.8
168,Jason Swanson,2004,21,43,48.8,238,5.5,33,2,1,3,106.0
169,Paul Dombrowski,2004,11,39,28.2,236,6.1,40,0,2,1,68.8
170,Ronnie Banks,2004,26,53,49.1,234,4.4,29,0,3,3,74.8
171,Jason Beck,2004,23,46,50.0,232,5.0,23,0,3,1,79.3
172,Sam Hollenbach,2004,22,36,61.1,229,6.4,21,0,0,4,114.5
173,Carl Bonnell,2004,20,54,37.0,228,4.2,45,0,4,3,57.7
174,Matt Berry,2004,17,28,60.7,228,8.1,42,1,1,5,133.8
175,Terrence Shawell,2004,7,18,38.9,213,11.8,87,2,0,0,175.0
176,Jeremy Young,2004,18,46,39.1,213,4.6,26,0,2,3,69.3
177,Robert Johnson,2004,10,19,52.6,209,11.0,74,3,1,2,186.6
178,Steven Bright,2004,22,43,51.2,205,4.8,27,0,0,9,91.2
179,Grant Arnoldink,2004,21,40,52.5,198,4.9,33,0,2,5,84.1
180,Ty Branyon,2004,19,29,65.5,194,6.7,28,1,0,1,133.1
181,Joe Fields,2004,13,29,44.8,192,6.6,60,1,3,6,91.1
182,Marc Guillon,2004,20,43,46.5,191,4.4,39,1,3,0,77.5
183,Josh Harris,2004,22,32,68.8,187,5.8,36,1,2,10,115.7
184,Bobby Robison,2004,9,16,56.3,185,11.6,38,3,1,0,202.8
185,Matt Silva,2004,18,36,50.0,185,5.1,24,1,0,3,102.3
186,Antwan Smith,2004,23,44,52.3,180,4.1,41,1,1,2,89.6
187,Michael Sanford,2004,11,21,52.4,173,8.2,46,0,1,0,112.1
188,Chris Dapolito,2004,20,38,52.6,172,4.5,47,1,2,4,88.8
189,Michael Robinson,2004,14,39,35.9,170,4.4,39,1,5,5,55.3
190,Omar Duarte,2004,13,20,65.0,170,8.5,39,3,0,0,185.9
191,Mike McGann,2004,7,12,58.3,165,13.8,63,1,0,1,201.3
192,Brandon Sumner,2004,15,37,40.5,163,4.4,25,1,2,5,75.7
193,Tali Ena,2004,13,41,31.7,157,3.8,57,0,2,2,54.1
194,Devin Hollins,2004,13,26,50.0,155,6.0,23,1,1,0,105.1
195,Michael Rathe,2004,12,18,66.7,143,7.9,33,2,1,0,159.0
196,Joey Vincent,2004,5,14,35.7,139,9.9,63,1,0,0,142.7
197,Sean Glennon,2004,8,11,72.7,137,12.5,34,2,0,0,237.3
198,Jordan Steffy,2004,12,32,37.5,132,4.1,43,0,1,11,65.9
199,Kyle Israel,2004,14,36,38.9,129,3.6,25,0,1,6,63.4
200,Colt Brennan,2005,350,515,68.0,"4,301",8.4,87,35,13,35,155.5
201,Cody Hodges,2005,353,531,66.5,"4,238",8.0,67,31,12,34,148.3
202,Brady Quinn,2005,292,450,64.9,"3,919",8.7,80,32,7,21,158.4
203,Matt Leinart,2005,283,431,65.7,"3,815",8.9,67,28,8,17,157.7
204,John Beck,2005,331,513,64.5,"3,709",7.2,67,27,13,25,137.6
205,Brett Basanez,2005,314,497,63.2,"3,622",7.3,67,21,8,10,135.1
206,Jordan Palmer,2005,258,434,59.4,"3,503",8.1,75,29,19,27,140.5
207,Luke Getsy,2005,278,525,53.0,"3,455",6.6,79,23,12,20,118.1
208,Paul Pinegar,2005,265,416,63.7,"3,335",8.0,98,29,15,14,146.8
209,Kevin Kolb,2005,254,420,60.5,"3,258",7.8,83,19,15,29,133.4
210,Drew Weatherford,2005,276,469,58.8,"3,208",6.8,71,18,18,26,121.3
211,Drew Olson,2005,242,378,64.0,"3,198",8.5,91,34,6,25,161.6
212,Justin Holland,2005,235,369,63.7,"3,185",8.6,82,23,15,23,148.6
213,Darrell Hackney,2005,242,386,62.7,"3,180",8.2,89,22,12,15,144.5
214,Josh Betts,2005,248,434,57.1,"3,178",7.3,79,27,13,15,133.2
215,Drew Stanton,2005,236,354,66.7,"3,077",8.7,75,22,12,24,153.4
216,Jay Cutler,2005,273,462,59.1,"3,073",6.7,47,21,9,24,126.1
217,Vince Young,2005,212,325,65.2,"3,036",9.3,75,26,10,13,163.9
218,Steven Moffett,2005,223,375,59.5,"2,925",7.8,69,22,9,36,139.5
219,Jeff Rowe,2005,241,389,62.0,"2,925",7.5,64,21,10,29,137.8
220,John Stocco,2005,197,328,60.1,"2,920",8.9,65,21,9,37,150.5
221,Brian Johnson,2005,210,330,63.6,"2,892",8.8,60,18,7,26,151.0
222,Alex Brink,2005,205,358,57.3,"2,891",8.1,80,24,13,18,140.0
223,Brian Brohm,2005,207,301,68.8,"2,883",9.6,76,19,5,17,166.7
224,Bret Meyer,2005,227,368,61.7,"2,876",7.8,63,19,10,39,138.9
225,Dustin Almond,2005,216,394,54.8,"2,860",7.3,75,23,12,15,129.0
226,Paul Smith,2005,227,364,62.4,"2,835",7.8,66,20,6,26,142.6
227,Drew Tate,2005,219,352,62.2,"2,828",8.0,78,22,7,16,146.3
228,Kent Smith,2005,255,420,60.7,"2,799",6.7,74,16,6,22,126.4
229,James Pinkney,2005,222,366,60.7,"2,773",7.6,81,14,8,21,132.6
230,Steven Wichman,2005,226,401,56.4,"2,746",6.8,75,15,18,32,117.2
231,Matt Moore,2005,211,355,59.4,"2,711",7.6,63,11,19,27,123.1
232,Joel Klatt,2005,241,400,60.3,"2,696",6.7,64,14,8,16,124.4
233,Zac Taylor,2005,237,430,55.1,"2,653",6.2,73,19,12,38,115.9
234,Chris Leak,2005,235,374,62.8,"2,639",7.1,80,20,6,32,136.5
235,Corey Bramlet,2005,214,359,59.6,"2,610",7.3,68,16,18,25,125.4
236,Omar Jacobs,2005,195,321,60.7,"2,590",8.1,63,25,7,11,149.9
237,D.J. Shockley,2005,173,310,55.8,"2,588",8.3,56,24,5,17,148.3
238,Jared Zabransky,2005,202,342,59.1,"2,562",7.5,55,18,16,18,130.0
239,Chad Henne,2005,223,382,58.4,"2,551",6.7,58,23,8,21,130.2
240,Sam Hollenbach,2005,192,315,61.0,"2,539",8.1,80,13,15,28,132.8
241,Bryan Cupito,2005,176,297,59.3,"2,530",8.5,57,19,9,4,145.9
242,Brodie Croyle,2005,202,339,59.6,"2,499",7.4,87,14,4,36,132.8
243,Marques Hagans,2005,213,343,62.1,"2,492",7.3,59,14,12,34,129.6
244,Charlie Whitehurst,2005,229,340,67.4,"2,483",7.3,51,11,10,20,133.5
245,Bruce Gradkowski,2005,207,332,62.3,"2,469",7.4,70,29,12,9,146.4
246,Josh Padrick,2005,221,366,60.4,"2,461",6.7,58,13,11,15,122.6
247,JaMarcus Russell,2005,188,311,60.5,"2,443",7.9,50,15,9,21,136.6
248,Kellen Clemens,2005,185,289,64.0,"2,406",8.3,61,19,4,8,152.9
249,Kyle Wright,2005,180,307,58.6,"2,403",7.8,92,18,10,34,137.2
250,Marcus Vick,2005,177,289,61.2,"2,393",8.3,54,17,10,33,143.3
251,Tyler Palko,2005,193,341,56.6,"2,392",7.0,73,17,9,30,126.7
252,Blake Mitchell,2005,186,315,59.0,"2,370",7.5,64,17,12,25,132.4
253,Michael Robinson,2005,162,311,52.1,"2,350",7.6,59,17,10,12,127.2
254,Matt Baker,2005,180,346,52.0,"2,345",6.8,87,9,11,33,111.2
255,Brandon Cox,2005,177,306,57.8,"2,324",7.6,62,15,8,21,132.6
256,Blake Powers,2005,212,376,56.4,"2,305",6.1,83,22,16,27,118.7
257,Brad Smith,2005,237,399,59.4,"2,304",5.8,50,13,9,12,114.1
258,Troy Smith,2005,149,237,62.9,"2,282",9.6,85,16,4,14,162.7
259,Rudy Carpenter,2005,156,228,68.4,"2,273",10.0,69,17,2,21,175.0
260,Steven Jyles,2005,209,379,55.1,"2,235",5.9,58,12,10,7,109.9
261,Matt Kubik,2005,171,312,54.8,"2,202",7.1,72,17,7,18,127.6
262,Matt Bohnet,2005,220,351,62.7,"2,181",6.2,77,14,5,13,125.2
263,Reggie Ball,2005,182,380,47.9,"2,165",5.7,65,11,12,8,99.0
264,Isaiah Stanback,2005,143,264,54.2,"2,136",8.1,69,9,6,23,128.8
265,Ryan Hart,2005,155,255,60.8,"2,135",8.4,55,18,8,13,148.1
266,Clint Marks,2005,197,298,66.1,"2,083",7.0,49,8,7,34,129.0
267,Michael Machen,2005,200,365,54.8,"2,078",5.7,84,11,18,24,102.7
268,Nick Noce,2005,156,282,55.3,"2,052",7.3,55,12,10,28,123.4
269,Rhett Bomar,2005,167,308,54.2,"2,018",6.6,55,10,10,19,113.5
270,Phil Horvath,2005,168,238,70.6,"2,001",8.4,60,18,8,15,159.5
271,Joey Lynch,2005,198,314,63.1,"1,982",6.3,64,18,7,39,130.5
272,Tim Brasic,2005,206,337,61.1,"1,979",5.9,61,11,11,32,114.7
273,Shawn Bell,2005,190,320,59.4,"1,964",6.1,55,11,6,17,118.5
274,Reggie McNeal,2005,141,265,53.2,"1,963",7.4,80,16,9,11,128.6
275,Trent Edwards,2005,168,268,62.7,"1,934",7.2,49,17,7,29,139.0
276,Lester Ricard,2005,166,323,51.4,"1,932",6.0,74,16,12,20,110.6
277,Royal Gill,2005,195,328,59.5,"1,930",5.9,80,11,9,25,114.5
278,Zac Dahman,2005,168,299,56.2,"1,864",6.2,44,11,13,20,112.0
279,Adam Tafralis,2005,142,286,49.7,"1,810",6.3,80,11,10,10,108.5
280,Jeff Ballard,2005,139,232,59.9,"1,801",7.8,84,13,7,17,137.6
281,Dustin Grutza,2005,168,300,56.0,"1,799",6.0,56,11,11,40,111.1
282,Jerad Romo,2005,154,281,54.8,"1,768",6.3,67,9,7,26,113.2
283,Brandon Kirsch,2005,152,257,59.1,"1,727",6.7,49,7,8,3,118.4
284,Joe Ayoob,2005,125,254,49.2,"1,707",6.7,58,15,14,20,114.1
285,Micheal Spurlock,2005,142,267,53.2,"1,703",6.4,41,7,9,14,108.7
286,Kole McKamey,2005,144,231,62.3,"1,682",7.3,51,13,9,11,134.3
287,Andre' Woodson,2005,146,253,57.7,"1,644",6.5,79,6,6,30,115.4
288,Leon Jackson,2005,132,229,57.6,"1,547",6.8,50,8,6,23,120.7
289,Danny Embick,2005,120,225,53.3,"1,531",6.8,66,11,10,26,117.7
290,Matt Ryan,2005,121,195,62.1,"1,514",7.8,61,8,5,6,135.7
291,Perry Patterson,2005,130,273,47.6,"1,504",5.5,70,6,11,32,93.1
292,Pat Julmiste,2005,124,252,49.2,"1,489",5.9,76,6,11,20,98.0
293,Drew Willy,2005,149,245,60.8,"1,481",6.0,46,6,12,32,109.9
294,Mike McGann,2005,122,250,48.8,"1,469",5.9,56,3,13,19,91.7
295,Rick Clausen,2005,120,209,57.4,"1,441",6.9,53,6,6,10,119.1
296,Shaun Carney,2005,95,148,64.2,"1,393",9.4,61,7,7,13,149.4
297,Quinton Porter,2005,136,214,63.6,"1,357",6.3,43,9,7,8,124.2
298,Tim Hiller,2005,98,150,65.3,"1,334",8.9,89,20,3,12,180.0
299,Jarrod Jackson,2005,124,228,54.4,"1,321",5.8,62,6,12,24,101.2
300,Lamar Owens,2005,63,122,51.6,"1,299",10.6,62,6,8,12,144.2
301,Jay Davis,2005,108,180,60.0,"1,267",7.0,80,6,8,11,121.2
302,Jason Swanson,2005,105,190,55.3,"1,223",6.4,48,7,10,9,111.0
303,Joey Vincent,2005,113,215,52.6,"1,219",5.7,46,6,12,22,98.2
304,Austen Everson,2005,105,220,47.7,"1,151",5.2,58,4,11,15,87.7
305,Jimmy Skinner,2005,114,184,62.0,"1,135",6.2,66,6,8,8,115.8
306,Bernard Morris,2005,114,216,52.8,"1,121",5.2,52,6,6,14,100.0
307,Willie Tuitama,2005,82,142,57.7,"1,105",7.8,75,9,5,7,137.0
308,Al Pena,2005,89,179,49.7,"1,102",6.2,56,8,13,10,101.7
309,Marcus Stone,2005,75,154,48.7,"1,015",6.6,96,8,6,17,113.4
310,Carl Meadows,2005,80,169,47.3,974,5.8,49,6,10,23,95.6
311,Shane Steichen,2005,88,159,55.3,967,6.1,39,8,5,13,116.7
312,Brian Luke,2005,87,171,50.9,967,5.7,59,6,8,11,100.6
313,Zack Asack,2005,90,180,50.0,966,5.4,66,5,8,19,95.4
314,Daniel Meager,2005,101,202,50.0,941,4.7,42,4,8,15,87.7
315,Curtis Painter,2005,89,170,52.4,932,5.5,39,3,5,5,98.3
316,Omarr Conner,2005,86,167,51.5,903,5.4,66,8,5,17,106.7
317,Maurice Avery,2005,67,118,56.8,894,7.6,66,5,4,6,127.6
318,Robert Johnson,2005,89,158,56.3,876,5.5,29,5,6,9,105.7
319,Jerry Babb,2005,74,119,62.2,859,7.2,44,3,3,4,126.1
320,Allen Webb,2005,62,105,59.0,850,8.1,73,9,5,10,145.8
321,Ben Mauk,2005,85,158,53.8,845,5.3,46,1,6,17,93.2
322,Matt Bonislawski,2005,82,162,50.6,836,5.2,30,6,7,13,97.5
323,Dan Nicholson,2005,59,95,62.1,831,8.7,79,6,2,11,152.2
324,Pat White,2005,65,114,57.0,828,7.3,50,8,5,5,132.4
325,Cory Randolph,2005,85,130,65.4,821,6.3,74,5,4,9,125.0
326,Julian Foster,2005,63,112,56.3,797,7.1,51,5,4,15,123.6
327,Dennis Dixon,2005,69,104,66.3,777,7.5,68,6,3,4,142.4
328,Erik Ainge,2005,66,145,45.5,737,5.1,50,5,7,9,89.9
329,Mike Teel,2005,51,101,50.5,683,6.8,38,2,10,6,94.0
330,Robbie Haas,2005,79,123,64.2,682,5.5,40,3,4,7,112.4
331,Ryan Cubit,2005,65,108,60.2,674,6.2,37,6,3,5,125.4
332,Jerod Walker,2005,53,76,69.7,653,8.6,45,6,2,7,162.7
333,Tye Gunn,2005,64,136,47.1,646,4.8,55,2,4,7,85.9
334,Brett Ratliff,2005,48,77,62.3,642,8.3,48,8,2,4,161.5
335,Hunter Cantwell,2005,39,73,53.4,640,8.8,57,5,4,8,138.7
336,Mike Henig,2005,60,135,44.4,621,4.6,56,2,5,16,80.6
337,Bobby Reid,2005,52,108,48.1,602,5.6,49,2,4,15,93.7
