,NAME,COLLEGE,YEAR,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW,HT/WT,DOB,DRAFT_STATUS
81,Chad Henne,MICH,2005,63.3,8.2,466,28.0,34.8,1.4,-13.7,5.4,54.6,"6' 3"", 222 lbs",7/2/1985 (35),"2008: Rd 2, Pk 57 (MIA)"
82,Chris Leak,FLA,2005,63.0,6.6,527,25.1,44.5,1.0,-19.2,-1.2,53.2,na,5/3/1985,na
83,Brandon Kirsch,PUR,2005,61.9,8.8,328,20.1,16.9,4.9,-1.6,0.0,56.9,na,na,na
84,Bruce Gradkowski,TOL,2005,61.9,37.4,431,47.4,38.8,15.3,-6.7,-0.1,71.1,na,1/27/1983,"2006: Rd 6, Pk 194 (TB)"
85,Alex Brink,WSU,2005,61.3,11.1,453,28.7,36.1,2.0,-11.8,2.4,56.3,na,6/2/1985,"2008: Rd 7, Pk 223 (HOU)"
86,Darrell Hackney,UAB,2005,60.8,27.1,476,44.6,50.5,3.3,-9.3,0.2,64.4,na,8/7/1983,na
87,Ryan Hart,RUTG,2005,60.6,17.6,306,26.7,36.7,-0.9,-8.8,-0.3,64.5,na,na,na
88,Paul Smith,TLSA,2005,60.2,26.7,523,48.1,53.7,11.5,-16.2,-0.8,63.0,na,7/2/1984,na
89,Trent Edwards,STAN,2005,60.2,5.1,393,20.5,35.1,5.3,-20.0,0.0,53.4,na,10/30/1983,"2007: Rd 3, Pk 92 (BUF)"
90,Michael Robinson,PSU,2005,59.4,0.2,502,20.4,19.9,6.4,-9.3,3.5,50.1,na,2/6/1983,"2006: Rd 4, Pk 100 (SF)"
91,Kyle Wright,MIAMI,2005,59.1,-4.3,410,13.0,38.6,-3.7,-21.7,0.4,47.3,na,10/18/1984,na
92,Rick Clausen,TENN,2005,58.5,0.7,257,10.9,17.0,-0.1,-6.0,0.0,50.8,na,na,na
93,Isaiah Stanback,WASH,2005,58.4,2.4,408,18.3,25.8,3.9,-13.4,1.8,51.6,na,8/16/1984,"2007: Rd 4, Pk 103 (DAL)"
94,Matt Bohnet,EMU,2005,58.3,30.4,460,42.6,42.6,5.9,-7.1,1.5,66.5,na,na,na
95,Justin Holland,CSU,2005,58.3,18.8,443,33.1,62.4,-13.1,-13.8,-1.8,60.9,na,na,na
96,Jeff Ballard,TCU,2005,57.3,13.4,361,25.2,28.1,7.2,-11.3,0.9,59.5,na,na,na
97,Brodie Croyle,ALA,2005,56.4,-5.6,441,13.4,33.5,2.9,-22.8,-0.2,46.7,na,2/6/1983,"2006: Rd 3, Pk 85 (KC)"
98,Kole McKamey,UNM,2005,56.3,14.8,384,27.7,27.4,4.0,-6.3,2.6,59.9,na,na,na
99,Shaun Carney,AFA,2005,56.1,11.8,351,26.5,29.5,2.1,-8.6,3.5,58.7,na,na,na
100,James Pinkney,ECU,2005,55.0,18.7,500,36.6,39.8,11.5,-16.6,2.0,59.6,na,na,na
101,Blake Mitchell,SC,2005,54.2,-8.1,402,10.0,31.1,-5.8,-17.1,2.1,44.8,na,na,na
102,Matt Kubik,LT,2005,52.5,17.1,416,30.3,30.0,8.7,-11.5,3.1,60.5,na,na,na
103,Maurice Avery,MEM,2005,52.3,0.8,257,11.5,14.6,0.3,-3.5,0.0,50.8,na,na,na
104,Rhett Bomar,OKLA,2005,52.3,-16.2,453,4.7,20.7,0.5,-13.9,-2.4,40.8,na,7/2/1985,"2009: Rd 5, Pk 151 (NYG)"
105,Quinton Porter,BC,2005,52.2,-1.0,265,11.0,19.9,-4.8,-5.1,0.9,49.1,na,12/28/1982,na
106,Kevin Kolb,HOU,2005,51.9,8.2,571,32.4,48.2,3.5,-17.9,-1.3,53.7,na,8/24/1984,"2007: Rd 2, Pk 36 (PHI)"
107,Steven Moffett,UCF,2005,51.7,12.2,529,31.0,50.6,3.9,-25.3,1.5,56.0,na,na,na
108,Reggie Ball,GT,2005,51.2,-21.4,524,3.4,4.6,0.5,-4.6,3.0,39.5,na,10/6/1984,na
109,Joel Klatt,COLO,2005,51.2,-11.7,511,9.5,20.1,-1.1,-11.6,1.8,44.1,na,na,na
110,Josh Betts,M-OH,2005,51.0,14.7,524,30.8,45.3,-6.1,-10.0,1.6,57.3,na,8/25/1982,na
111,Jeff Rowe,NEV,2005,50.9,23.9,551,42.2,55.1,5.2,-19.2,1.1,61.1,na,3/21/1984,"2007: Rd 5, Pk 151 (CIN)"
112,Josh Padrick,FIU,2005,50.9,18.1,437,33.3,40.8,4.5,-12.1,0.1,60.6,na,na,na
113,Sam Hollenbach,MD,2005,50.7,-8.8,425,10.6,36.4,-7.1,-20.6,2.4,44.6,na,9/9/1983,na
114,Shawn Bell,BAY,2005,49.0,-7.2,390,10.1,25.4,-2.9,-11.0,-1.7,45.2,na,na,na
115,Zac Taylor,NEB,2005,48.4,-21.3,568,5.2,24.9,1.6,-24.1,2.8,40.4,na,5/10/1983,na
116,Dustin Almond,USM,2005,48.4,-1.8,480,18.3,38.6,-12.2,-9.5,1.4,49.0,na,na,na
117,Bret Meyer,ISU,2005,48.4,-10.4,552,15.0,53.2,-13.6,-26.3,1.5,45.1,na,na,na
118,Jared Zabransky,BSU,2005,48.1,9.3,491,26.2,27.4,10.6,-12.1,0.1,54.9,na,12/4/1983,na
119,Tyler Palko,PITT,2005,48.0,-10.0,457,9.1,28.6,-0.5,-20.9,1.7,44.3,na,8/9/1983,na
120,Jordan Palmer,UTEP,2005,47.9,9.4,543,30.2,51.8,-3.1,-19.9,1.7,54.5,na,5/30/1984,"2007: Rd 6, Pk 205 (WSH)"
121,Drew Weatherford,FSU,2005,47.5,-25.4,587,2.4,25.6,-7.2,-15.1,-1.2,38.9,na,na,na
122,Shane Steichen,UNLV,2005,46.6,3.7,250,14.5,8.8,14.4,-9.3,0.7,53.8,na,na,na
123,Jason Swanson,KU,2005,46.5,-11.2,246,0.5,7.2,-1.1,-5.6,-0.1,38.4,na,na,na
124,Tim Brasic,ILL,2005,45.4,-21.6,535,3.2,15.0,3.9,-15.7,0.0,39.6,na,na,na
125,Kent Smith,CMU,2005,44.8,0.5,617,27.1,40.1,7.6,-17.1,-3.5,50.2,na,9/5/1983,"2001: Rd 3, Pk 19 (NO)"
126,Pat Julmiste,USF,2005,43.6,-24.4,419,-3.3,6.7,2.0,-10.7,-1.2,35.3,na,na,na
127,Matt Bonislawski,CONN,2005,43.6,-12.4,245,-0.5,-1.0,8.5,-7.3,-0.6,37.2,na,na,na
128,Corey Bramlet,WYO,2005,42.9,-12.3,486,9.2,26.6,-4.7,-14.1,1.4,43.5,na,1/17/1983,na
129,Clint Marks,MTSU,2005,42.4,-4.6,414,13.8,35.9,0.6,-22.4,-0.4,47.1,na,na,na
130,Steven Jyles,ULM,2005,41.4,-2.5,580,21.5,21.7,3.2,-3.9,0.7,48.9,na,na,na
131,Matt Moore,ORST,2005,41.4,-18.8,453,2.5,26.1,-7.9,-15.7,0.0,39.4,na,8/9/1984,na
132,Blake Powers,IU,2005,41.3,-13.7,510,8.5,13.5,8.6,-15.8,2.1,43.1,na,na,na
133,Matt Baker,UNC,2005,40.2,-34.7,478,-10.5,11.7,0.5,-23.1,0.4,32.0,na,5/11/1983,na
134,Curtis Painter,PUR,2005,40.2,-11.4,240,0.1,-0.1,3.8,-3.7,0.1,38.0,na,6/24/1985,"2009: Rd 6, Pk 201 (IND)"
135,Zac Dahman,ARMY,2005,38.3,-16.1,390,2.1,18.3,-4.0,-11.3,-1.0,39.4,na,na,na
136,Leon Jackson,USU,2005,38.1,-10.3,389,6.7,18.8,-0.7,-12.6,0.9,43.1,na,na,na
137,Joe Ayoob,CAL,2005,37.4,-20.3,341,-3.5,5.8,1.1,-11.1,0.8,35.0,na,na,na
138,Nick Noce,ARST,2005,36.9,-7.4,453,11.8,20.1,8.5,-15.2,-1.9,45.7,na,na,na
139,Lamar Owens,NAVY,2005,35.8,-8.9,351,6.9,18.6,-3.8,-7.2,-0.8,43.4,na,na,na
140,Luke Getsy,AKR,2005,34.9,-22.0,641,7.6,25.7,-3.5,-13.6,-1.0,41.2,na,2/16/1984,na
141,Danny Embick,FAU,2005,34.0,-17.5,348,-0.6,13.5,4.1,-17.3,-0.7,37.3,na,na,na
142,Bernard Morris,MRSH,2005,33.9,-13.4,310,1.3,1.4,9.5,-10.5,1.3,38.9,na,na,na
143,Joey Vincent,NMSU,2005,33.4,-14.1,293,0.0,3.8,6.6,-11.0,0.3,37.7,na,na,na
144,Jerad Romo,SMU,2005,33.3,-25.9,420,-5.2,16.1,-2.8,-16.4,-2.1,34.5,na,na,na
145,Dustin Grutza,CIN,2005,32.5,-38.8,445,-13.3,4.8,3.8,-22.9,0.9,28.8,na,na,na
146,Andre' Woodson,UK,2005,29.8,-37.0,338,-16.1,9.9,-6.7,-19.4,0.1,24.3,na,4/25/1984,"2008: Rd 6, Pk 198 (NYG)"
147,Zack Asack,DUKE,2005,29.4,-35.3,284,-15.1,-5.9,-1.2,-7.9,-0.3,21.5,na,na,na
148,Steven Wichman,IDHO,2005,27.8,-26.9,506,-2.1,21.8,-8.8,-18.1,2.2,36.5,na,na,na
149,Adam Tafralis,SJSU,2005,27.4,-14.6,360,2.2,7.0,-0.8,-5.5,1.5,39.6,na,na,na
150,Lester Ricard,TULN,2005,26.6,-29.2,382,-9.0,7.3,-4.6,-12.6,1.1,31.1,na,12/11/1983,na
151,Al Pena,OKST,2005,26.6,-36.3,232,-15.4,-6.7,-2.1,-6.8,0.2,16.4,na,na,na
152,Omarr Conner,MSST,2005,25.3,-27.1,224,-13.9,-3.3,-0.1,-8.9,-1.5,22.2,na,na,na
153,Royal Gill,NMSU,2005,24.3,-31.5,395,-7.7,5.9,-1.3,-12.0,-0.4,30.4,na,na,na
154,Mike McGann,TEM,2005,23.5,-31.6,326,-10.2,-1.5,-3.0,-6.8,1.2,26.8,na,9/15/1982,na
155,Ben Mauk,WAKE,2005,23.3,-28.3,247,-12.4,0.3,-3.5,-10.8,1.7,23.3,na,na,na
156,Daniel Meager,UNT,2005,21.3,-32.5,301,-14.5,-0.9,-2.9,-9.2,-1.5,24.6,na,na,na
157,Michael Machen,KENT,2005,20.6,-39.5,446,-14.2,0.1,-1.5,-15.3,2.7,28.5,na,na,na
158,Perry Patterson,SYR,2005,20.0,-57.2,374,-29.1,-11.1,1.6,-19.3,-0.2,17.0,na,na,na
159,Drew Willy,BUFF,2005,19.9,-38.9,360,-16.3,0.0,0.4,-17.8,1.1,24.6,na,11/13/1986,na
160,Marcus Stone,NCST,2005,18.4,-40.3,241,-23.6,1.5,-15.3,-9.8,0.0,15.0,na,12/9/1984,na
161,Austen Everson,OHIO,2005,17.6,-51.6,354,-27.4,-10.4,-7.9,-8.3,-0.8,18.0,na,na,na
162,Brian Luke,KU,2005,15.4,-41.5,245,-24.6,-7.7,-9.9,-7.5,0.1,14.7,na,na,na
163,Jarrod Jackson,UNLV,2005,14.3,-49.8,318,-21.4,-4.3,-6.4,-9.3,-1.4,16.4,na,na,na
164,Carl Meadows,TROY,2005,11.9,-38.7,238,-21.8,-6.1,-5.4,-11.5,1.3,15.6,na,na,na
165,Pat White,WVU,2006,90.5,72.9,370,76.1,37.7,45.0,-7.6,1.2,88.6,na,2/25/1986,"2009: Rd 2, Pk 44 (MIA)"
166,Colt Brennan,HAW,2006,85.8,126.4,690,127.5,125.2,15.4,-14.8,1.3,87.0,na,8/16/1983,"2008: Rd 6, Pk 186 (WSH)"
167,John Beck,BYU,2006,83.4,66.5,517,72.7,80.7,0.0,-9.7,1.6,79.2,na,8/21/1981,"2007: Rd 2, Pk 40 (MIA)"
168,JaMarcus Russell,LSU,2006,82.1,47.0,428,54.7,65.2,1.3,-11.8,0.1,75.8,na,8/9/1985,"2007: Rd 1, Pk 1 (OAK)"
169,Troy Smith,OSU,2006,82.0,46.7,414,54.0,62.7,3.0,-11.2,-0.5,76.4,na,7/20/1984,"2007: Rd 5, Pk 174 (BAL)"
170,Brian Brohm,LOU,2006,79.7,43.0,390,51.1,61.1,-1.1,-10.1,1.2,75.9,na,9/23/1985,"2008: Rd 2, Pk 56 (GB)"
171,Erik Ainge,TENN,2006,79.3,40.3,401,55.5,66.5,-2.4,-9.2,0.7,74.0,na,6/12/1986,"2008: Rd 5, Pk 162 (NYJ)"
172,John David Booty,USC,2006,77.7,33.0,527,50.6,62.0,-3.1,-8.3,-0.1,65.7,na,1/3/1985,"2008: Rd 5, Pk 137 (MIN)"
173,Nate Longshore,CAL,2006,74.8,32.7,445,43.7,50.8,-0.6,-8.1,1.5,68.2,na,na,na
174,Brady Quinn,ND,2006,73.9,42.4,595,54.6,59.9,10.6,-15.3,-0.7,67.7,na,10/27/1984,"2007: Rd 1, Pk 22 (CLE)"
175,Tyler Palko,PITT,2006,72.2,30.0,429,40.9,54.4,4.2,-15.2,-2.5,67.4,na,8/9/1983,na
176,Syvelle Newton,SC,2006,71.4,19.2,270,29.6,22.0,15.5,-9.2,1.2,67.7,na,na,na
177,Bobby Reid,OKST,2006,70.9,23.0,418,36.7,26.0,20.3,-9.3,-0.4,63.9,na,na,na
178,Chase Daniel,MIZ,2006,70.1,43.1,626,58.6,69.2,4.3,-14.3,-0.4,67.2,"6' 0"", 225 lbs",10/7/1986 (34),na
179,Andre' Woodson,UK,2006,69.3,25.3,533,44.1,64.8,2.7,-23.9,0.5,62.1,na,4/25/1984,"2008: Rd 6, Pk 198 (NYG)"
180,Bryan Cupito,MINN,2006,69.2,21.8,432,32.4,44.8,-3.5,-9.3,0.3,62.8,na,na,na
181,Jared Zabransky,BSU,2006,68.1,33.2,429,42.0,47.4,5.5,-10.3,-0.7,69.1,na,12/4/1983,na
182,Matt Moore,ORST,2006,67.3,16.8,492,33.7,53.3,2.6,-23.5,1.3,58.8,na,8/9/1984,na
183,Graham Harrell,TTU,2006,66.4,37.7,694,60.6,79.2,-4.3,-17.0,2.5,63.8,na,5/22/1985,na
184,Dan LeFevour,CMU,2006,66.4,46.4,570,59.9,52.1,21.3,-15.8,2.3,70.0,na,3/19/1987,"2010: Rd 6, Pk 181 (CHI)"
185,Paul Thompson,OKLA,2006,66.2,21.8,453,39.1,48.6,0.4,-11.7,1.5,62.2,na,11/23/1983,na
186,Colt McCoy,TEX,2006,65.7,20.5,435,34.2,45.2,-6.3,-8.7,4.1,62.0,"6' 1"", 212 lbs",9/5/1986 (34),"2010: Rd 3, Pk 85 (CLE)"
187,Chris Nickson,VAN,2006,65.5,12.3,469,30.0,16.1,19.2,-8.3,3.3,56.8,na,na,na
188,Kevin Kolb,HOU,2006,65.2,43.0,595,64.1,78.7,7.6,-19.8,-2.5,67.9,na,8/24/1984,"2007: Rd 2, Pk 36 (PHI)"
189,Chris Leak,FLA,2006,65.1,7.9,487,27.7,50.3,-5.7,-16.9,0.0,54.2,na,5/3/1985,na
190,Stephen McGee,TA&M,2006,65.1,21.6,513,40.2,35.3,14.0,-10.3,0.9,60.8,na,9/27/1985,"2009: Rd 4, Pk 101 (DAL)"
191,Dennis Dixon,ORE,2006,64.5,11.1,448,25.5,21.4,6.3,-4.0,1.8,56.4,na,1/11/1985,"2008: Rd 5, Pk 156 (PIT)"
192,Chase Holbrook,NMSU,2006,64.2,59.8,698,79.9,105.4,-3.0,-24.5,1.9,70.9,na,na,na
193,Zac Taylor,NEB,2006,63.8,18.8,493,35.1,52.1,1.6,-17.4,-1.2,59.8,na,5/10/1983,na
194,Alex Brink,WSU,2006,63.7,6.5,506,26.9,51.7,-10.5,-17.9,3.6,53.3,na,6/2/1985,"2008: Rd 7, Pk 223 (HOU)"
195,Isaiah Stanback,WASH,2006,63.2,2.7,295,15.5,24.5,-2.1,-7.1,0.0,52.4,na,8/16/1984,"2007: Rd 4, Pk 103 (DAL)"
196,Chad Henne,MICH,2006,63.0,9.7,408,24.6,43.5,-2.8,-17.0,0.7,56.2,"6' 3"", 222 lbs",7/2/1985 (35),"2008: Rd 2, Pk 57 (MIA)"
